video_id,i_Portraits_Outdoor,i_Office_Desk_Items,i_Electronics_Repair,i_Laptops_Workstations,i_UI_Digital_Screens,i_Men_Accessories,i_Smartwatches_Devices,i_Tablet_Gaming,i_Smartphones_Handling,i_Handheld_Gadgets,i_Landscape_Decor
neIYdLysqlk,0.14437349245843695,0.11172927462838737,0.04961819654973516,0.007595304188898782,0.07471273094294344,0.1101124890813549,0.009070582868937405,0.029046285385941385,0.08701786049571597,0.3184789535026284,0.05824482989702024
YX8ks42Azn8,0.17533513697851194,0.09987997337228555,0.0409719328892004,0.010550145612018105,0.09986323461235896,0.0517425603326221,0.019641974236750917,0.08469072772147991,0.1469947741222925,0.25090476601531436,0.019424774107165234
4RcThoRG46c,0.14095134962080416,0.1947075656494844,0.03488799861376598,0.04359685995378795,0.17838561011516846,0.1326471130508957,0.00989373375669676,0.041346040349449796,0.025140828946469285,0.16652683755505063,0.03191606238842686
vSIbvJB4WdI,0.32733553689824246,0.0446273683226706,0.013596108174844386,0.006035804407367611,0.24020448329407657,0.12210695305911046,0.016070375243559587,0.020678659210908244,0.12304391634888988,0.06888090075562993,0.017419894284700227
cRPBp2tRxFY,0.19549153608808492,0.1077571445329082,0.014324856606816956,0.03016612089867616,0.12074889475366282,0.09736528041520152,0.013170699937176915,0.024162569436119177,0.24529537451755903,0.11347062849619677,0.038046894317597516
z19HM7ANZlo,0.037200071741550905,0.29514065433987297,0.022194942726053185,0.10739713596103272,0.18124155886037616,0.09513606747925418,0.04848924484674597,0.002623676299860649,0.04197987845714467,0.15052690789676124,0.01806986139134741
Yv_S7KrOlfk,0.08679389265218568,0.33100097759806546,0.01523562186676216,0.0463422402921906,0.07144505639869628,0.051008597370339984,0.009903871976669497,0.09514910832108672,0.1434143192490236,0.13460797392066956,0.015098340354310515
nK9zxuXa3OA,0.09245809923279572,0.2517473734110153,0.03690872926923011,0.02741667546699953,0.0860679197106518,0.035005493806198495,0.006597399046371431,0.10426825553910264,0.18479899400933003,0.1509508972144749,0.02378016329383012
MRtg6A1f2Ko,0.17885276875709827,0.1657779143887123,0.020318004459137937,0.007555924880606386,0.14145147746687636,0.05348089794759926,0.029790710914185815,0.01646160920523867,0.21594847949288748,0.1242653441208351,0.046096868366822336
h3BKjZMGoIw,0.10831758760532732,0.15435093697887856,0.05307877774439787,0.006954599934880809,0.029280821014468713,0.09260695489079661,0.03522370754105312,0.02798116602025539,0.2409706977358492,0.2298878269588198,0.021346923575272583
hPf2qu5U6F8,0.09879904060845948,0.05168749236882225,0.010157859772923977,0.01697010984697818,0.1607315607085701,0.09545691534884218,0.0172212491769748,0.06574246870240356,0.232679498427456,0.24148096637059097,0.00907283866797846
QptbdEci-m8,0.2794193056951769,0.12480751569662556,0.042436025767345675,0.05852783825752303,0.0962010901828407,0.14048311956681298,0.00618719232761473,0.011804403236755752,0.08437580217244944,0.13021965763163085,0.025538049465224394
_ybbXIksjUk,0.05764909639586262,0.24034441690806255,0.02352611631970568,0.05059976889211382,0.0424229012704303,0.25889655780744797,0.019896391866555098,0.024026242479262983,0.08498070930898907,0.18224322286087558,0.015414575890694353
G7o7Qz08RrI,0.1642780401776939,0.1418685372016009,0.017617016353334892,0.06563918676738618,0.07745778370712882,0.20295171559845013,0.007545722224010012,0.02717731239820748,0.22690685575013808,0.05518990317845862,0.013367926643590988
PCEmUPqSK4k,0.09317155480676918,0.050995402604738255,0.01960492363529043,0.05228584237341068,0.02272526901860024,0.11672296503457703,0.01608961342881228,0.456052303153171,0.06344792848241998,0.10229042716676506,0.006613770295445853
b4x8boB2KdI,0.0704635134266763,0.21856031617903568,0.02580528007452268,0.2486859302103772,0.1396993535605486,0.13570580834484683,0.016440362512350214,0.046242654478147655,0.016043626539621488,0.07087789909428968,0.011475255579583702
